Exp #,Population,Nodes,Best Length,Iteration,Gain,Elapsed Time
2,4,60,149,281,3,2.570
2,4,60,137,284,12,0.550
2,4,60,134,304,3,3.673
2,4,60,129,323,5,3.487
2,4,60,128,326,1,0.552
2,4,60,126,329,2,0.550
2,4,60,122,333,4,0.733
2,4,60,114,338,8,0.919
2,4,60,109,353,5,2.754
2,4,60,100,357,9,0.734
2,4,60,96,392,4,6.428
2,4,60,92,400,4,1.469
2,4,60,89,405,3,0.916
2,4,60,83,433,6,5.143
2,4,60,80,456,3,4.222
2,4,60,79,467,1,2.020
2,4,60,78,500,1,6.046
2,4,60,73,501,5,0.184
2,4,60,70,509,3,1.468
2,4,60,68,555,2,8.441
3,4,60,242,0,0,0.000
3,4,60,241,4,1,0.907
3,4,60,240,9,1,0.898
3,4,60,220,14,20,0.896
3,4,60,205,16,15,0.359
3,4,60,204,188,1,31.279
3,4,60,197,194,7,1.098
3,4,60,184,207,13,2.378
3,4,60,178,214,6,1.279
3,4,60,167,218,11,0.732
3,4,60,165,227,2,1.646
3,4,60,163,244,2,3.109
3,4,60,155,249,8,0.914
3,4,60,152,255,3,1.096
3,4,60,147,261,5,1.097
3,4,60,142,272,5,2.010
3,4,60,141,274,1,0.366
3,4,60,137,295,4,3.839
3,4,60,132,305,5,1.828
3,4,60,119,359,13,9.875
3,4,60,110,407,9,8.784
3,4,60,109,420,1,2.378
3,4,60,104,446,5,4.758
3,4,60,98,448,6,0.366
3,4,60,94,481,4,6.039
3,4,60,93,493,1,2.197
3,4,60,92,495,1,0.367
3,4,60,87,500,5,0.915
3,4,60,84,513,3,2.380
3,4,60,81,517,3,0.732
3,4,60,80,522,1,0.915
3,4,60,75,525,5,0.548
3,4,60,72,530,3,0.914
3,4,60,71,536,1,1.098
3,4,60,70,538,1,0.366
3,4,60,69,544,1,1.098
3,4,60,68,630,1,15.740
4,4,60,275,0,0,0.000
4,4,60,248,0,27,0.183
4,4,60,244,2,4,0.367
4,4,60,242,7,2,0.914
4,4,60,236,9,6,0.366
4,4,60,229,32,7,4.207
4,4,60,217,46,12,2.560
4,4,60,215,69,2,4.207
4,4,60,207,160,8,16.528
4,4,60,203,201,4,7.501
4,4,60,199,214,4,2.381
4,4,60,198,244,1,5.420
4,4,60,187,248,11,0.718
4,4,60,182,265,5,3.050
4,4,60,162,266,20,0.179
4,4,60,157,283,5,3.054
4,4,60,148,284,9,0.179
4,4,60,144,287,4,0.539
4,4,60,138,306,6,3.404
4,4,60,136,324,2,3.234
4,4,60,126,328,10,0.716
4,4,60,125,345,1,3.049
4,4,60,124,348,1,0.538
4,4,60,119,349,5,0.179
4,4,60,116,369,3,3.587
4,4,60,115,382,1,2.340
4,4,60,112,388,3,1.101
4,4,60,111,391,1,0.548
4,4,60,107,392,4,0.183
4,4,60,106,396,1,0.731
4,4,60,95,398,11,0.365
4,4,60,92,410,3,2.193
4,4,60,86,414,6,0.733
4,4,60,84,420,2,1.095
4,4,60,78,424,6,0.730
4,4,60,76,439,2,2.739
4,4,60,73,440,3,0.183
4,4,60,67,443,6,0.549
4,4,60,63,448,4,0.914
4,4,60,62,471,1,4.153
5,4,60,271,0,0,0.000
5,4,60,242,0,29,0.184
5,4,60,236,12,6,2.188
5,4,60,222,16,14,0.726
5,4,60,213,46,9,5.450
5,4,60,197,174,16,23.248
5,4,60,192,213,5,7.098
5,4,60,190,214,2,0.183
5,4,60,186,223,4,1.640
5,4,60,184,231,2,1.457
5,4,60,169,237,15,1.092
5,4,60,167,262,2,4.545
5,4,60,163,273,4,2.005
5,4,60,160,278,3,0.910
5,4,60,153,287,7,1.641
5,4,60,152,308,1,3.818
5,4,60,151,309,1,0.182
5,4,60,140,314,11,0.912
5,4,60,137,319,3,0.911
5,4,60,127,338,10,3.463
5,4,60,124,350,3,2.182
5,4,60,123,375,1,4.550
5,4,60,122,398,1,4.198
5,4,60,115,401,7,0.548
5,4,60,111,410,4,1.643
5,4,60,106,416,5,1.093
5,4,60,105,423,1,1.277
5,4,60,99,447,6,4.381
5,4,60,94,451,5,0.728
5,4,60,84,457,10,1.093
5,4,60,79,463,5,1.093
5,4,60,78,488,1,4.551
5,4,60,75,490,3,0.364
5,4,60,73,503,2,2.373
5,4,60,72,510,1,1.278
5,4,60,71,586,1,13.878
1,5,10,31,0,0,0.000
1,5,10,21,0,10,0.002
1,5,10,15,2,6,0.004
1,5,10,12,3,3,0.003
2,5,10,27,0,0,0.000
2,5,10,18,1,9,0.004
2,5,10,15,2,3,0.002
3,5,10,28,0,0,0.000
3,5,10,22,1,6,0.004
3,5,10,15,2,7,0.002
3,5,10,14,3,1,0.002
3,5,10,12,5,2,0.004
4,5,10,26,0,0,0.000
4,5,10,24,0,2,0.002
4,5,10,18,1,6,0.002
4,5,10,17,4,1,0.006
5,5,10,27,0,0,0.000
5,5,10,21,1,6,0.004
5,5,10,16,2,5,0.002
5,5,10,14,3,2,0.002
5,5,10,12,4,2,0.002
1,5,30,113,0,0,0.000
1,5,30,102,10,11,0.368
1,5,30,92,14,10,0.136
1,5,30,86,15,6,0.033
1,5,30,81,16,5,0.034
1,5,30,73,17,8,0.033
1,5,30,64,18,9,0.034
1,5,30,62,20,2,0.067
1,5,30,61,21,1,0.034
1,5,30,51,22,10,0.034
1,5,30,44,25,7,0.100
1,5,30,43,31,1,0.201
1,5,30,41,43,2,0.410
2,5,30,116,0,0,0.000
2,5,30,114,2,2,0.098
2,5,30,106,5,8,0.099
2,5,30,105,9,1,0.132
2,5,30,97,10,8,0.033
2,5,30,95,11,2,0.033
2,5,30,90,12,5,0.033
2,5,30,71,13,19,0.033
2,5,30,68,14,3,0.033
2,5,30,65,15,3,0.032
2,5,30,64,16,1,0.033
2,5,30,58,17,6,0.033
2,5,30,54,23,4,0.199
2,5,30,48,27,6,0.133
3,5,30,109,0,0,0.000
3,5,30,97,11,12,0.395
3,5,30,92,13,5,0.066
3,5,30,79,14,13,0.033
3,5,30,70,15,9,0.033
3,5,30,65,16,5,0.032
3,5,30,60,17,5,0.033
3,5,30,54,19,6,0.066
3,5,30,51,21,3,0.068
3,5,30,43,22,8,0.033
3,5,30,42,36,1,0.462
4,5,30,124,0,0,0.000
4,5,30,102,0,22,0.033
4,5,30,80,11,22,0.365
4,5,30,72,14,8,0.100
4,5,30,66,16,6,0.067
4,5,30,62,18,4,0.066
4,5,30,49,19,13,0.034
4,5,30,48,24,1,0.168
4,5,30,46,25,2,0.033
4,5,30,44,27,2,0.067
4,5,30,43,44,1,0.565
5,5,30,127,0,0,0.000
5,5,30,92,2,35,0.100
5,5,30,70,14,22,0.400
5,5,30,69,17,1,0.100
5,5,30,64,18,5,0.033
5,5,30,57,19,7,0.034
5,5,30,56,22,1,0.100
5,5,30,49,23,7,0.033
5,5,30,48,24,1,0.033
5,5,30,46,28,2,0.133
5,5,30,45,33,1,0.168
5,5,30,41,34,4,0.034
1,5,60,248,0,0,0.000
1,5,60,234,1,14,0.460
1,5,60,228,11,6,2.306
1,5,60,222,14,6,0.694
1,5,60,221,106,1,21.224
1,5,60,216,130,5,5.514
1,5,60,213,195,3,14.997
1,5,60,208,196,5,0.231
1,5,60,200,218,8,5.076
1,5,60,199,236,1,4.156
1,5,60,191,237,8,0.230
1,5,60,182,238,9,0.231
1,5,60,178,250,4,2.772
1,5,60,175,252,3,0.464
1,5,60,168,259,7,1.616
1,5,60,156,271,12,2.769
1,5,60,154,274,2,0.694
1,5,60,150,283,4,2.074
1,5,60,145,287,5,0.921
1,5,60,140,299,5,2.768
1,5,60,132,301,8,0.462
1,5,60,123,315,9,3.227
1,5,60,119,321,4,1.384
1,5,60,118,366,1,10.371
1,5,60,110,389,8,5.301
1,5,60,108,422,2,7.610
1,5,60,105,424,3,0.461
1,5,60,99,432,6,1.843
1,5,60,89,436,10,0.921
1,5,60,74,441,15,1.151
1,5,60,73,463,1,5.065
1,5,60,69,467,4,0.922
1,5,60,67,474,2,1.612
1,5,60,66,619,1,33.120
2,5,60,249,0,0,0.000
2,5,60,228,0,21,0.227
2,5,60,227,51,1,11.568
2,5,60,221,54,6,0.682
2,5,60,214,102,7,10.889
2,5,60,212,116,2,3.179
2,5,60,203,139,9,5.223
2,5,60,200,170,3,7.047
2,5,60,189,182,11,2.729
2,5,60,184,189,5,1.589
2,5,60,177,192,7,0.682
2,5,60,176,203,1,2.496
2,5,60,163,207,13,0.910
2,5,60,155,216,8,2.046
2,5,60,148,228,7,2.728
2,5,60,133,233,15,1.134
2,5,60,130,251,3,4.087
2,5,60,129,256,1,1.133
2,5,60,124,271,5,3.398
2,5,60,117,290,7,4.316
2,5,60,114,298,3,1.816
2,5,60,111,314,3,3.631
2,5,60,109,315,2,0.226
2,5,60,108,326,1,2.498
2,5,60,103,328,5,0.455
2,5,60,102,330,1,0.457
2,5,60,100,332,2,0.458
2,5,60,96,333,4,0.227
2,5,60,89,334,7,0.228
2,5,60,87,339,2,1.140
2,5,60,86,348,1,2.043
2,5,60,84,350,2,0.454
2,5,60,82,361,2,2.494
2,5,60,76,365,6,0.906
2,5,60,74,371,2,1.362
2,5,60,71,384,3,2.991
2,5,60,70,398,1,3.175
2,5,60,69,439,1,9.310
2,5,60,68,445,1,1.362
2,5,60,67,623,1,40.372
3,5,60,255,0,0,0.000
3,5,60,243,0,12,0.230
3,5,60,228,3,15,0.692
3,5,60,224,22,4,4.371
3,5,60,219,36,5,3.225
3,5,60,216,158,3,28.128
3,5,60,198,188,18,6.906
3,5,60,192,212,6,5.525
3,5,60,190,220,2,1.841
3,5,60,182,228,8,1.843
3,5,60,179,232,3,0.922
3,5,60,176,238,3,1.381
3,5,60,168,240,8,0.461
3,5,60,164,244,4,0.923
3,5,60,158,250,6,1.382
3,5,60,154,256,4,1.362
3,5,60,153,269,1,2.988
3,5,60,146,280,7,2.536
3,5,60,139,281,7,0.230
3,5,60,136,292,3,2.534
3,5,60,127,313,9,4.837
3,5,60,126,314,1,0.230
3,5,60,123,323,3,2.070
3,5,60,116,355,7,7.367
3,5,60,113,377,3,5.065
3,5,60,107,387,6,2.303
3,5,60,99,397,8,2.302
3,5,60,91,398,8,0.231
3,5,60,86,415,5,3.913
3,5,60,84,423,2,1.823
3,5,60,82,431,2,1.807
3,5,60,74,436,8,1.131
3,5,60,71,443,3,1.580
3,5,60,70,457,1,3.163
3,5,60,67,470,3,2.938
3,5,60,66,500,1,6.781
3,5,60,65,517,1,3.837
4,5,60,236,0,0,0.000
4,5,60,232,0,4,0.226
4,5,60,223,2,9,0.452
4,5,60,222,76,1,16.989
4,5,60,219,103,3,6.226
4,5,60,206,121,13,4.149
4,5,60,205,136,1,3.453
4,5,60,185,138,20,0.460
4,5,60,177,155,8,3.914
4,5,60,175,166,2,2.532
4,5,60,170,170,5,0.921
4,5,60,163,175,7,1.150
4,5,60,162,186,1,2.533
4,5,60,143,189,19,0.691
4,5,60,142,194,1,1.150
4,5,60,141,196,1,0.460
4,5,60,136,198,5,0.461
4,5,60,127,215,9,3.912
4,5,60,118,230,9,3.455
4,5,60,112,251,6,4.837
4,5,60,107,262,5,2.532
4,5,60,97,272,10,2.303
4,5,60,93,283,4,2.532
4,5,60,91,285,2,0.460
4,5,60,89,290,2,1.152
4,5,60,83,296,6,1.382
4,5,60,70,308,13,2.767
4,5,60,68,356,2,11.053
5,5,60,250,0,0,0.000
5,5,60,239,1,11,0.461
5,5,60,227,2,12,0.232
5,5,60,222,58,5,12.922
5,5,60,218,62,4,0.924
5,5,60,207,93,11,7.156
5,5,60,199,142,8,11.302
5,5,60,197,158,2,3.632
5,5,60,189,177,8,4.311
5,5,60,188,182,1,1.136
5,5,60,187,184,1,0.455
5,5,60,181,185,6,0.242
5,5,60,180,188,1,0.696
5,5,60,175,191,5,0.708
5,5,60,174,192,1,0.227
5,5,60,169,194,5,0.453
5,5,60,166,198,3,0.911
5,5,60,161,200,5,0.476
5,5,60,158,201,3,0.242
5,5,60,155,220,3,4.391
5,5,60,152,222,3,0.461
5,5,60,147,224,5,0.470
5,5,60,144,238,3,3.171
5,5,60,143,240,1,0.453
5,5,60,135,244,8,0.905
5,5,60,133,249,2,1.130
5,5,60,132,258,1,2.039
5,5,60,128,263,4,1.133
5,5,60,122,307,6,10.110
5,5,60,121,315,1,1.849
5,5,60,114,319,7,0.924
5,5,60,106,339,8,4.616
5,5,60,104,356,2,3.922
5,5,60,99,358,5,0.462
5,5,60,94,365,5,1.614
5,5,60,91,367,3,0.462
5,5,60,89,387,2,4.616
5,5,60,77,393,12,1.384
5,5,60,72,396,5,0.692
5,5,60,70,411,2,3.458
5,5,60,69,416,1,1.146
5,5,60,68,422,1,1.359
5,5,60,67,443,1,4.761
