Exp #,Population,Nodes,Best Length,Iteration,Gain,Elapsed Time
5,1,60,216,562,1,1.440
5,1,60,215,648,1,3.984
5,1,60,211,680,4,1.486
5,1,60,197,688,14,0.372
5,1,60,194,834,3,6.781
5,1,60,191,844,3,0.465
5,1,60,184,933,7,4.132
5,1,60,183,997,1,2.972
1,2,10,31,0,0,0.000
1,2,10,29,0,2,0.001
1,2,10,23,1,6,0.001
1,2,10,20,2,3,0.000
1,2,10,15,4,5,0.002
1,2,10,12,5,3,0.001
2,2,10,30,0,0,0.000
2,2,10,28,1,2,0.002
2,2,10,23,3,5,0.001
2,2,10,20,8,3,0.005
2,2,10,19,9,1,0.000
2,2,10,17,10,2,0.001
3,2,10,28,0,0,0.000
3,2,10,26,1,2,0.002
3,2,10,24,2,2,0.000
3,2,10,20,3,4,0.001
3,2,10,15,4,5,0.001
4,2,10,28,0,0,0.000
4,2,10,25,2,3,0.003
4,2,10,22,3,3,0.001
4,2,10,20,4,2,0.000
4,2,10,16,5,4,0.001
4,2,10,15,9,1,0.004
4,2,10,14,22,1,0.011
4,2,10,13,48,1,0.022
5,2,10,25,0,0,0.000
5,2,10,24,1,1,0.002
5,2,10,18,3,6,0.002
5,2,10,17,4,1,0.001
5,2,10,15,5,2,0.000
1,2,30,128,0,0,0.000
1,2,30,126,0,2,0.013
1,2,30,111,2,15,0.028
1,2,30,109,10,2,0.111
1,2,30,94,24,15,0.195
1,2,30,91,27,3,0.042
1,2,30,87,32,4,0.069
1,2,30,74,38,13,0.084
1,2,30,71,44,3,0.083
1,2,30,59,45,12,0.014
1,2,30,51,47,8,0.028
1,2,30,48,56,3,0.125
1,2,30,46,70,2,0.194
2,2,30,114,0,0,0.000
2,2,30,106,5,8,0.080
2,2,30,104,12,2,0.094
2,2,30,102,23,2,0.147
2,2,30,97,27,5,0.053
2,2,30,96,30,1,0.041
2,2,30,95,31,1,0.013
2,2,30,85,33,10,0.027
2,2,30,82,35,3,0.026
2,2,30,81,36,1,0.014
2,2,30,77,38,4,0.027
2,2,30,73,41,4,0.040
2,2,30,56,43,17,0.026
2,2,30,51,47,5,0.054
2,2,30,46,51,5,0.053
2,2,30,45,62,1,0.147
2,2,30,43,63,2,0.013
2,2,30,42,188,1,1.673
2,2,30,41,817,1,8.430
3,2,30,132,0,0,0.000
3,2,30,125,2,7,0.041
3,2,30,122,5,3,0.041
3,2,30,121,8,1,0.042
3,2,30,117,10,4,0.027
3,2,30,114,19,3,0.121
3,2,30,105,23,9,0.054
3,2,30,104,30,1,0.094
3,2,30,78,31,26,0.014
3,2,30,72,38,6,0.094
3,2,30,71,42,1,0.053
3,2,30,65,46,6,0.053
3,2,30,55,54,10,0.108
3,2,30,51,63,4,0.121
3,2,30,43,69,8,0.080
4,2,30,127,0,0,0.000
4,2,30,124,0,3,0.014
4,2,30,101,2,23,0.027
4,2,30,99,16,2,0.191
4,2,30,96,26,3,0.137
4,2,30,81,27,15,0.014
4,2,30,77,36,4,0.123
4,2,30,75,39,2,0.041
4,2,30,70,41,5,0.027
4,2,30,63,44,7,0.041
4,2,30,57,48,6,0.055
4,2,30,53,54,4,0.081
4,2,30,47,56,6,0.028
4,2,30,46,60,1,0.054
4,2,30,45,333,1,3.729
4,2,30,43,897,2,7.698
5,2,30,132,0,0,0.000
5,2,30,127,0,5,0.014
5,2,30,125,1,2,0.013
5,2,30,122,2,3,0.013
5,2,30,120,3,2,0.014
5,2,30,112,4,8,0.013
5,2,30,111,10,1,0.080
5,2,30,101,18,10,0.107
5,2,30,98,25,3,0.094
5,2,30,88,27,10,0.027
5,2,30,76,32,12,0.067
5,2,30,75,35,1,0.040
5,2,30,71,41,4,0.080
5,2,30,63,45,8,0.053
5,2,30,57,50,6,0.067
5,2,30,54,55,3,0.067
5,2,30,53,57,1,0.027
5,2,30,50,61,3,0.053
5,2,30,49,66,1,0.068
5,2,30,45,69,4,0.040
1,2,60,256,0,0,0.000
1,2,60,247,6,9,0.647
1,2,60,243,7,4,0.091
1,2,60,227,12,16,0.456
1,2,60,223,41,4,2.655
1,2,60,197,49,26,0.731
1,2,60,196,438,1,35.428
1,2,60,191,441,5,0.273
1,2,60,188,445,3,0.364
1,2,60,186,481,2,3.276
1,2,60,182,509,4,2.545
1,2,60,172,529,10,1.817
1,2,60,169,541,3,1.090
1,2,60,161,542,8,0.091
1,2,60,148,580,13,3.511
1,2,60,144,622,4,3.856
1,2,60,132,626,12,0.367
1,2,60,126,768,6,12.937
1,2,60,125,841,1,6.639
1,2,60,122,842,3,0.091
1,2,60,119,851,3,0.820
1,2,60,118,858,1,0.638
1,2,60,106,861,12,0.273
1,2,60,100,881,6,1.819
1,2,60,96,911,4,2.729
1,2,60,91,913,5,0.182
1,2,60,80,938,11,2.279
1,2,60,79,960,1,2.008
1,2,60,78,978,1,1.640
1,2,60,76,981,2,0.274
2,2,60,274,0,0,0.000
2,2,60,267,0,7,0.092
2,2,60,249,1,18,0.092
2,2,60,236,2,13,0.093
2,2,60,233,19,3,1.570
2,2,60,224,57,9,3.512
2,2,60,216,62,8,0.464
2,2,60,209,428,7,33.826
2,2,60,207,434,2,0.555
2,2,60,203,493,4,5.456
2,2,60,198,578,5,7.861
2,2,60,188,583,10,0.463
2,2,60,183,586,5,0.278
2,2,60,181,610,2,2.208
2,2,60,174,615,7,0.453
2,2,60,172,645,2,2.724
2,2,60,169,661,3,1.453
2,2,60,163,663,6,0.182
2,2,60,156,687,7,2.178
2,2,60,152,741,4,4.896
2,2,60,146,746,6,0.453
2,2,60,145,780,1,3.114
2,2,60,136,827,9,4.267
2,2,60,129,854,7,2.495
2,2,60,128,953,1,9.024
2,2,60,106,990,22,3.354
3,2,60,278,0,0,0.000
3,2,60,253,0,25,0.092
3,2,60,248,5,5,0.457
3,2,60,241,6,7,0.092
3,2,60,234,12,7,0.550
3,2,60,221,20,13,0.733
3,2,60,215,246,6,20.711
3,2,60,211,388,4,13.129
3,2,60,191,490,20,9.351
3,2,60,187,611,4,11.069
3,2,60,185,627,2,1.464
3,2,60,182,633,3,0.547
3,2,60,180,645,2,1.096
3,2,60,164,648,16,0.274
3,2,60,163,682,1,3.125
3,2,60,147,690,16,0.733
3,2,60,136,717,11,2.469
3,2,60,132,760,4,3.931
3,2,60,130,797,2,3.376
3,2,60,123,840,7,3.926
3,2,60,122,857,1,1.555
3,2,60,121,912,1,5.032
3,2,60,113,943,8,2.837
3,2,60,112,952,1,0.828
3,2,60,107,964,5,1.098
3,2,60,106,978,1,1.280
3,2,60,99,993,7,1.372
4,2,60,254,0,0,0.000
4,2,60,237,0,17,0.092
4,2,60,234,7,3,0.628
4,2,60,223,129,11,10.983
4,2,60,217,263,6,12.057
4,2,60,216,304,1,3.718
4,2,60,200,368,16,5.858
4,2,60,198,430,2,5.626
4,2,60,196,447,2,1.561
4,2,60,188,493,8,4.230
4,2,60,185,565,3,6.621
4,2,60,176,599,9,3.130
4,2,60,164,607,12,0.728
4,2,60,146,639,18,2.892
4,2,60,136,668,10,2.664
4,2,60,128,680,8,1.102
4,2,60,123,730,5,4.603
4,2,60,118,783,5,4.865
4,2,60,114,820,4,3.405
4,2,60,113,839,1,1.748
4,2,60,111,843,2,0.369
4,2,60,110,844,1,0.092
4,2,60,95,847,15,0.276
4,2,60,88,903,7,5.154
4,2,60,87,928,1,2.299
4,2,60,77,936,10,0.735
4,2,60,75,954,2,1.653
4,2,60,74,979,1,2.301
5,2,60,245,0,0,0.000
5,2,60,224,2,21,0.276
5,2,60,221,221,3,20.180
5,2,60,216,252,5,2.842
5,2,60,205,467,11,19.791
5,2,60,201,602,4,12.437
5,2,60,200,638,1,3.312
5,2,60,190,645,10,0.644
5,2,60,185,654,5,0.827
5,2,60,182,679,3,2.302
5,2,60,181,722,1,3.964
5,2,60,177,731,4,0.828
5,2,60,163,742,14,1.012
5,2,60,162,759,1,1.564
5,2,60,156,784,6,2.302
5,2,60,153,787,3,0.276
5,2,60,147,807,6,1.841
5,2,60,142,812,5,0.461
5,2,60,141,861,1,4.511
5,2,60,140,874,1,1.196
5,2,60,115,895,25,1.934
1,3,10,36,0,0,0.000
1,3,10,29,0,7,0.002
1,3,10,20,1,9,0.001
1,3,10,17,3,3,0.002
1,3,10,15,6,2,0.004
2,3,10,20,0,0,0.000
2,3,10,13,3,7,0.005
3,3,10,31,0,0,0.000
3,3,10,27,1,4,0.002
3,3,10,21,2,6,0.002
3,3,10,15,3,6,0.001
3,3,10,14,71,1,0.085
3,3,10,12,197,2,0.159
4,3,10,33,0,0,0.000
4,3,10,24,1,9,0.002
4,3,10,20,2,4,0.002
4,3,10,17,5,3,0.003
5,3,10,29,0,0,0.000
5,3,10,25,2,4,0.003
5,3,10,17,3,8,0.002
1,3,30,133,0,0,0.000
1,3,30,123,0,10,0.020
1,3,30,120,1,3,0.020
1,3,30,119,3,1,0.040
1,3,30,117,13,2,0.200
1,3,30,115,14,2,0.019
1,3,30,107,16,8,0.040
1,3,30,101,18,6,0.041
1,3,30,100,21,1,0.060
1,3,30,95,23,5,0.040
1,3,30,85,24,10,0.021
1,3,30,67,28,18,0.079
1,3,30,60,33,7,0.100
1,3,30,55,36,5,0.060
1,3,30,50,37,5,0.020
1,3,30,47,44,3,0.139
1,3,30,45,55,2,0.219
1,3,30,43,68,2,0.259
2,3,30,103,0,0,0.000
2,3,30,100,16,3,0.342
2,3,30,98,17,2,0.020
2,3,30,94,19,4,0.041
2,3,30,89,20,5,0.020
2,3,30,85,21,4,0.020
2,3,30,84,23,1,0.040
2,3,30,76,24,8,0.020
2,3,30,74,25,2,0.020
2,3,30,71,27,3,0.040
2,3,30,67,28,4,0.020
2,3,30,51,33,16,0.100
2,3,30,50,40,1,0.140
2,3,30,47,46,3,0.120
2,3,30,46,62,1,0.320
2,3,30,45,71,1,0.181
2,3,30,44,116,1,0.903
3,3,30,115,0,0,0.000
3,3,30,114,7,1,0.161
3,3,30,112,10,2,0.059
3,3,30,97,11,15,0.020
3,3,30,90,14,7,0.060
3,3,30,58,16,32,0.040
3,3,30,55,27,3,0.224
3,3,30,46,32,9,0.101
3,3,30,44,43,2,0.223
3,3,30,42,50,2,0.142
3,3,30,40,66,2,0.323
4,3,30,139,0,0,0.000
4,3,30,121,0,18,0.020
4,3,30,109,2,12,0.040
4,3,30,108,9,1,0.140
4,3,30,105,13,3,0.081
4,3,30,97,15,8,0.040
4,3,30,83,18,14,0.060
4,3,30,76,23,7,0.101
4,3,30,49,25,27,0.040
4,3,30,47,33,2,0.159
4,3,30,45,34,2,0.020
4,3,30,42,42,3,0.161
4,3,30,40,94,2,1.039
5,3,30,137,0,0,0.000
5,3,30,123,0,14,0.020
5,3,30,118,1,5,0.020
5,3,30,107,5,11,0.079
5,3,30,100,15,7,0.199
5,3,30,99,18,1,0.059
5,3,30,80,21,19,0.060
5,3,30,75,25,5,0.079
5,3,30,64,28,11,0.061
5,3,30,60,29,4,0.020
5,3,30,56,30,4,0.020
5,3,30,52,35,4,0.099
5,3,30,51,39,1,0.079
5,3,30,50,42,1,0.059
5,3,30,49,55,1,0.258
5,3,30,48,56,1,0.020
5,3,30,47,76,1,0.396
5,3,30,46,77,1,0.020
5,3,30,45,124,1,0.932
1,3,60,225,0,0,0.000
1,3,60,221,40,4,5.668
1,3,60,209,197,12,21.566
1,3,60,208,205,1,1.099
1,3,60,198,237,10,4.387
1,3,60,193,259,5,3.024
1,3,60,190,269,3,1.370
1,3,60,184,281,6,1.653
1,3,60,171,287,13,0.824
1,3,60,162,290,9,0.412
1,3,60,160,310,2,2.742
1,3,60,156,315,4,0.693
1,3,60,155,320,1,0.686
1,3,60,142,321,13,0.136
1,3,60,134,345,8,3.288
1,3,60,123,374,11,3.993
1,3,60,120,385,3,1.515
1,3,60,112,440,8,7.590
1,3,60,111,471,1,4.264
1,3,60,107,485,4,1.921
1,3,60,100,500,7,2.065
1,3,60,97,510,3,1.372
1,3,60,86,530,11,2.743
1,3,60,83,564,3,4.686
1,3,60,77,581,6,2.343
1,3,60,76,612,1,4.270
1,3,60,71,626,5,1.929
1,3,60,68,655,3,3.995
1,3,60,66,671,2,2.202
1,3,60,65,678,1,0.962
1,3,60,64,984,1,42.049
2,3,60,260,0,0,0.000
2,3,60,251,3,9,0.551
2,3,60,249,4,2,0.137
2,3,60,232,6,17,0.277
2,3,60,229,9,3,0.413
2,3,60,221,80,8,9.778
2,3,60,213,139,8,8.130
2,3,60,207,296,6,21.614
